schuljahr,halbjahr,klasse,fach,lehrer
2023,,ECKU1,SP,BERN
2023,1,H11E,INWI,BENE
2023,1,EHM1,KSK,SIEG
2023,1,H12B,BWRW,HUES
2023,1,H12B,PG,SCAE
2023,1,FVU1,D,JACK
2023,1,EHU4,KKS,WILM
2023,1,EHU2,WSP,KEES
2023,1,EHU3,KKS,EICK
2023,1,H11B,PG,SCAE
2023,1,F12A,S,HERR
2023,1,FSHM4,SL-HM,RAMM
2023,1,FSHM6,PROJ,EPPI
2023,1,FSHM6,PROJ,WIGA
2023,1,FSHM6,PW,HEMK
2023,1,FSHM6,SL-PW,HEMK
2023,1,FSHM6,VWL,SAND
2023,1,FSHM6,BWL,SAND
2023,1,FSHM6,RW,RAMM
2023,1,FSHM6,HM,GEHR
2023,,FSHM7,PW,HEMK
2023,,FSHM7,BWL,EPPI
2023,,FSHM7,MA,SUTO
2023,,FSHM7,RW,SAND
2023,,FSHM7,WIF,HUGO
2023,,FSHM7,HM,GEHR
2023,1,ITKUD,D-PM,SCWA
2023,1,ITVU,GID,HEMK
2023,1,ITVU,STDM,SEMI
2023,1,ITVU,KR,NEUH
2023,1,ITVU,PG,NEE
2023,1,ITVU,D,PESCH
2023,,ITVU,SP,BERN
2023,1,ITVU,E,MEIC
2023,1,ITFU1,GID,NOWA
2023,1,ITFU1,STDM,HOTF
2023,1,ITFU1,E,BRAN
2023,1,ITFU1,D-PM,NEE
2023,1,ITFU1,PG,STUH
2023,1,ITFU2,GID,PLOG
2023,1,ITFU2,EVP,NOWA
2023,1,ITFU2,STDM,HOTF
2023,1,ITFU2,E,BRAN
2023,1,ITFU2,D-PM,NEE
2023,1,ITFU2,PG,NEE
2023,1,ITFU3,GID,SAND
2023,1,ITFU3,EVP,HINSE
2023,1,ITFU3,STDM,SUTO
2023,1,ITFU3,E,BRAN
2023,1,ITFU3,D-PM,SCWA
2023,1,ITFU3,PG,NEE
2023,1,BAU1,D-S,KAST
2023,1,BAU2,D-S,KAST
2023,1,BAM,VWL,SALZ
2023,1,BAM,MA,KURZ
2023,1,BAM,D,LANO
2023,1,BAM,PG,NEUH
2023,1,BAM,D-S,HERR
2023,1,BAM,KR,WEIN
2023,1,BA3O,MA,KURZ
2023,1,WG11A,D-E,KAST
2023,1,WG11B,D-E,KAST
2023,1,WG11A,D-D,REIC
2023,1,WG11B,D-D,REIC
2023,1,ECKO1,GEC,LUKA
2023,,ECKO1,GEC,LUKA
2023,1,ECKO1,WSP,STEC
2023,,ECKO1,WSP,STEC
2023,,ECKO1,KSK,LUKA
2023,1,ECKO1,D-PM,SCWA
2023,1,GTM3,GHP,SCMI
2023,1,GTM3,E,SIEB
2023,1,GTM3,KSK,HANS
2023,1,GTM3,WSP,KREY
2023,1,GTM3,PG,REIC
2023,1,GTM3,D,REIC
2023,1,GTM2,D,EMKE
2023,1,GTM1,D,EMKE
2023,1,GTU2,SP,SCMI
2023,1,ITVU,STDM,SUTO
2023,1,ITVU,D-PM,NEE
2023,1,BA3O,D,OSSIO
2023,1,ECKM1,GEC,BRUE
2023,,ECKM1,GEC,BRUE
2023,1,FSHM2,SL-BW,HEMK
2023,1,EHU5,DV,WIGA
2023,1,EHU5,E,WALK
2023,,EHU5,SP,RIEG
2023,1,EHU5,WSP,RUPP
2023,1,EHU5,KKS,LANK
2023,1,EHU6,E,SIEB
2023,,EHU6,SP,SCMI
2023,1,EHU6,WBP,SCEI
2023,1,EHU6,PG,NEE
2023,1,EHU6,KKS,KREY
2023,1,EHU6,WSP,SIEG
2023,1,BAM,BWRW,ROEN
2023,1,EHU2,KKS,WILM
2023,1,BAM,INWI,KEES
2023,1,KBO4,GP,BENE
2023,1,H12A,D-KL,HUIZ
2023,1,H12B,D-KL,RIEG
2023,1,H11A,VWL,KLAP
2023,1,EHO1,KKS,VINN
2023,1,EHO1,KSK,WIGA
2023,1,BF2D,GP,PILA
2023,1,BF2D,GWP,KLAP
2023,1,BF2D,GP,DITT
2023,1,BF2D,MA,KURZ
2023,1,BF2D,E,DITT
2023,1,BF2D,D,SIEB
2023,1,BF2D,PG,STUH
2023,1,BF2D,D-DV,ARND
2023,1,BF2D,PP,BENE
2023,1,H11B,E,MEIC
2023,1,H11H,E,EWEN
2023,1,H11A,INWI,SIEG
2023,1,ECKU1,WSP,SCMI
2023,1,H12D,INWI,PIER
2023,1,KBM2,BP,HUES
2023,1,KBU3,GP,PRESS
2023,1,EHU3,WSP,KEES
2023,,ITVM,WBL,LUKA
2023,1,EHU1,PG,STUH
2023,1,EHU5,PG,STUH
2023,1,ITKUD,PG,STUH
2023,1,H11F,BWRW,LANF
2023,1,H11F,VWL,ROEN
2023,1,H11F,E,BRAN
2023,1,H11F,SP,BRAN
2023,1,H11F,D,BAUE
2023,1,H11F,MA,TESC
2023,1,H11F,PG,SCAE
2023,1,H11F,INWI,KREY
2023,1,H11D,BWRW,THIE
2023,1,H11D,VWL,SALZ
2023,1,H11D,E,EICK
2023,1,H11D,SP,SCAE
2023,1,H11D,D,SCHK
2023,1,H11D,MA,RIEG
2023,1,H11D,PG,ROES
2023,1,H11D,INWI,PLOG
2023,1,BF1B,PRPH,HUES
2023,1,ITFM1,E,BRAN
2023,1,ITFM1,ER,LANF
2023,1,ITFM1,D,BERN
2023,1,ITFM2,GID,GEHR
2023,1,ITFM2,EVP,BRUE
2023,1,ITFM2,STDM,SCWA
2023,1,ITFM2,E,EICK
2023,1,ITFM2,ER,LANF
2023,1,ITFM2,D,BERN
2023,1,ITFM3,GID,GEHR
2023,1,ITFM3,EVP,NEE
2023,1,ITFM3,STDM,BRUE
2023,1,ITFM3,E,EICK
2023,1,ITFM3,ER,LANF
2023,1,ITFM3,D,BERN
2023,,ITFM1,WBL,NOWA
2023,,ITFM2,WBL,GEHR
2023,,ITFM3,WBL,GEHR
2023,1,ITKMS,GID,SONN
2023,1,ITKMS,EVP,NOWA
2023,1,ITKMS,STDM,NOWA
2023,1,ITKMS,E,BRAN
2023,1,ITKMS,KR,NEUH
2023,1,ITKMS,D,BERN
2023,1,MAKM1,D-OM,HUGO
2023,1,MEDM,D-OM,HUGO
2023,,MAKM2,D-OM,HUGO
2023,1,MAKO2,FMC,STIP
2023,1,MAKO2,MKM,DITT
2023,1,BA3O,INWI,FUCH
2023,1,BF1B,D-KL,STKG
2023,1,BF1A,D-KL,WIGA
2023,1,BF2A,D-KL,FEYE
2023,1,BF2B,D-KL,SIEB
2023,1,BF2C,D-KL,SCWB
2023,1,BF2D,D-KL,DITT
2023,1,H12A,D,EMKE
2023,1,STUPL,BERAT,SPEI
2023,1,STUPL,BERAT,DAGO
2023,,DRU,SP,DIET
2023,1,BF1A,PRPH,RUPP
2023,1,BA3O,WIF,NEE
2023,1,FVU1,KKS,RUPP
2023,,ECKU2,D-DV,HEIN
2023,1,ECKU2,SP,BERN
2023,1,ECKU2,PG,SCAE
2023,1,ECKU2,WSP,EMKE
2023,1,ECKU2,KSK,STRC
2023,1,ECKU2,E,DITT
2023,1,ECKU2,GEC,LUKA
2023,1,ITFU4,GID,GEHR
2023,1,ITFU4,STDM,SUTO
2023,1,ITFU4,E,EICK
2023,1,ITFU4,D-PM,SCWA
2023,1,ITFU4,PG,NEE
2023,1,WG11B,D,REIC
2023,1,H12A,WG,GROS
2023,1,H12B,WG,GROS
2023,1,H12C,WG,GROS
2023,1,H12D,WG,GROS
2023,1,H12A,NL,STAHL
2023,1,H12B,NL,STAHL
2023,1,H12C,NL,STAHL
2023,1,H12D,NL,STAHL
2023,1,H12A,D-MA,SUTO
2023,1,H12B,D-MA,SUTO
2023,1,H12C,D-MA,SUTO
2023,1,H12D,D-MA,SUTO
2023,1,H12A,D-MA,PILA
2023,1,H12B,D-MA,PILA
2023,1,H12C,D-MA,PILA
2023,1,H12D,D-MA,PILA
2023,1,H12A,D-PG,ROES
2023,1,H12B,D-PG,ROES
2023,1,H12C,D-PG,ROES
2023,1,H12D,D-PG,ROES
2023,1,H12A,D-KMK,MEIC
2023,1,H12B,D-KMK,MEIC
2023,1,H12C,D-KMK,MEIC
2023,1,H12D,D-KMK,MEIC
2023,1,H11C,NL,STAHL
2023,1,H11E,NL,STAHL
2023,1,H11B,NL,STAHL
2023,1,H11F,NL,STAHL
2023,1,H11A,NL,STAHL
2023,1,H11G,NL,STAHL
2023,1,H11D,NL,STAHL
2023,1,H11H,NL,STAHL
2023,1,GBM,GHP,WAID
2023,1,KBM4,BP,PIER
2023,1,FSHM6,SL-BW,SAND
2023,1,BAU2,BWRW,SENG
2023,1,BAU2,INWI,KEES
2023,1,BAU2,SBWL,SALZ
2023,1,BAU2,BIO,KAMP
2023,1,BAU2,MA,SCAF
2023,1,BAU2,E,FABE
2023,1,BAU2,D,LANO
2023,1,BAU2,SP,SCMI
2023,1,BAU2,VWL,LANO
2023,1,MAKM1,ER,SCAU
2023,1,MEDM,ER,SCAU
2023,1,MAKM2,ER,KERS
2023,,MAKO1,MKM,THIE
2023,,MAKO1,WSP,SCUL
2023,1,ECKM1,D,EMKE
2023,1,ECKM2,WSP,EMKE
2023,1,ECKM2,KSK,BERN
2023,1,ECKM2,E,DAGO
2023,1,ECKM2,ER,KERS
2023,1,ECKM2,D-DP,HUGO
2023,,ECKM2,KSK,BERN
2023,1,ECKM2,GEC,HUGO
2023,,ECKM2,GEC,HUGO
2023,1,ECKM2,D,EMKE
2023,1,KBO2,GP,PIER
2023,1,KBO2,E,HOLL
2023,1,KBO2,D,HOLL
2023,,ITFM3,EVP,HINSE
2023,1,ITFO2,GID,GEHR
2023,1,ITFO2,EVP,BRUE
2023,1,ITFO2,STDM,TESC
2023,1,ITFO2,STDM,SEMI
2023,1,ITFO2,D-PM,BRUE
2023,1,ITFO3,GID,GEHR
2023,1,ITFO3,EVP,NEE
2023,1,ITFO3,STDM,TESC
2023,1,ITFO3,STDM,SEMI
2023,1,ITFO3,D-PM,BRUE
2023,1,ITVO,GID,BERN
2023,1,ITVO,EVP,HINSE
2023,1,ITVO,STDM,HOTF
2023,1,ITVO,E,BRAN
2023,1,ITVO,D-PM,BRUE
2023,1,ITKOD,GID,GEHR
2023,,ITKOD,GID,GEHR
2023,1,ITKOD,EVP,NOWA
2023,,ITKOD,EVP,NOWA
2023,1,ITKOD,STDM,NOWA
2023,1,ITKOD,D-PM,BRUE
2023,1,ITKOS,GID,BERN
2023,,ITKOS,GID,BERN
2023,1,ITKOS,EVP,NOWA
2023,,ITKOS,EVP,NOWA
2023,1,ITKOS,D-PM,BRUE
2023,1,H11B,D-KL,LANK
2023,1,H11C,D-KL,SALZ
2023,1,H11E,D-KL,ROTH
2023,1,H11F,D-KL,LANF
2023,1,H11D,D-KL,THIE
2023,,ITFM1,SP,BERN
2023,,ITFM2,SP,BERN
2023,1,ITFM3,SP,BERN
2023,,ITKMS,SP,BERN
2023,1,DRM,PG,KERS
2023,1,BA3O,INWI,KEES
2023,1,BA3O,D-FPX,KEES
2023,1,BA3O,D-FPX,FUCH
2023,1,ITKOS,STDM,NOWA
2023,1,H11C,D-MA,PILA
2023,1,H11F,D-MA,PILA
2023,1,H11D,D-MA,PILA
2023,1,H11E,D-MA,PILA
2023,1,H11A,D-MA,PILA
2023,1,H11B,D-MA,PILA
2023,1,H11G,D-MA,PILA
2023,1,H11H,D-MA,PILA
2023,1,H11C,D-PG,ROTH
2023,1,H11F,D-PG,ROTH
2023,1,H11D,D-PG,ROTH
2023,1,H11E,D-PG,ROTH
2023,1,H11A,D-PG,ROTH
2023,1,H11B,D-PG,ROTH
2023,1,H11G,D-PG,ROTH
2023,1,H11H,D-PG,ROTH
2023,1,H11C,D-PG,MIECK
2023,1,H11F,D-PG,MIECK
2023,1,H11D,D-PG,MIECK
2023,1,H11E,D-PG,MIECK
2023,1,H11A,D-PG,MIECK
2023,1,H11B,D-PG,MIECK
2023,1,H11G,D-PG,MIECK
2023,1,H11H,D-PG,MIECK
2023,1,H11C,D-E,DAGO
2023,1,H11F,D-E,DAGO
2023,1,H11D,D-E,DAGO
2023,1,H11E,D-E,DAGO
2023,1,H11A,D-E,DAGO
2023,1,H11B,D-E,DAGO
2023,1,H11G,D-E,DAGO
2023,1,H11H,D-E,DAGO
2023,1,ITKMD,GID,LUKA
2023,1,ITKMD,EVP,NEE
2023,1,ITKMD,STDM,NOWA
2023,1,ITKMD,E,MEIC
2023,,ITKMD,D,BERN
2023,1,ITKMD,SP,BERN
2023,1,ITKUS,EVP,NEE
2023,1,ITKUS,STDM,SUTO
2023,1,ITKUS,E,EICK
2023,1,ITKUS,D-PM,SCWA
2023,1,ITKUS,PG,NEE
2023,1,EHM3,KR,SENG
2023,1,BF1B,D,STKG
2023,1,KBO2,BP,PIER
2023,1,WG11A,BWL,SAND
2023,1,ITVU,EVP,NOWA
2023,1,WG11A,E,EWEN
2023,1,KBM5,E,DITT
2023,,KBU1,D-GK,ARND
2023,1,KBU2,D-GK,ARND
2023,,KBU3,D-GK,ARND
2023,1,KBU4,D-GK,ARND
2023,,KBU5,D-GK,ARND
2023,1,KVM1,D-GK,ARND
2023,1,WG11A,D-KL,SAND
2023,1,WG11B,D-KL,HOTF
2023,1,FSHM4,SL-E,WALK
2023,1,BAU1,KR,SENG
2023,1,BAU1,PG,NEUH
2023,1,BAU1,D-KL,FABE
2023,1,BAU2,KR,SENG
2023,1,BAU2,PG,NEUH
2023,1,BAU2,D-KL,SENG
2023,1,BAM,INWI,FUCH
2023,1,BAM,SP,BLEC
2023,,BAM,D-FPX,FUCH
2023,,BAM,D-FPX,KEES
2023,1,BAM,D-TV,ARND
2023,1,BAM,D-KL,ROEN
2023,1,GTU1,D,REIC
2023,1,GTU1,PG,REIC
2023,1,GTU2,D,REIC
2023,1,GTU2,PG,REIC
2023,1,GBU,ER,BAUE
2023,1,KBU1,SP,SIND
2023,,KBU2,SP,SIND
2023,1,KBU3,SP,SIND
2023,,KBU4,SP,SIND
2023,1,KBU5,SP,SIND
2023,1,ECKU1,D,SIEB
2023,1,ECKU2,D,SIEB
2023,1,ECKO2,GEC,HUGO
2023,,ECKO2,GEC,HUGO
2023,1,ECKO2,WSP,STEC
2023,,ECKO2,WSP,STEC
2023,,ECKO2,KSK,HUGO
2023,1,ECKO2,D-PM,GEHR
2023,1,ITFM4,EVP,SCOP
2023,1,ITFM4,STDM,BRUE
2023,1,ITFM4,E,BRAN
2023,1,ITFM4,ER,LANF
2023,,ITFM4,D,BERN
2023,1,ITFM4,SP,BERN
2023,1,ITKMD,KR,NEUH
2023,,ITKMS,GID,SAND
2023,1,IFK1,GWL,STRC
2023,1,IFK1,MA,HINSE
2023,1,IFK1,E,STEC
2023,1,IFK1,D,BAUE
2023,1,IFK1,SP,SIND
2023,1,IFK1,PG,STUH
2023,1,D-IT,SUPP,TESC
2023,1,D-IT,SUPP,BRUE
2023,1,D-IT,SUPP,NOWA
2023,1,D-IT,SUPP,EMKE
2023,1,D-IT,SUPP,HOLL
2023,1,H11G,BWRW,ROER
2023,1,H11G,E,DAGO
2023,1,H11G,SP,SCMI
2023,1,H11G,D,EWEN
2023,1,H11G,MA,SCAF
2023,1,H11G,PG,SCAE
2023,1,H11G,INWI,STRC
2023,1,H11G,D-KL,ROER
2023,1,FFM,MA,?
2023,1,FFM,PG,?
2023,1,FFM,SP,?
2023,1,FFM,D-DV,?
2023,1,FFM,D,?
2023,1,IFK1,D-D,BAUE
2023,1,IFK1,D,STEC
2023,1,IFK1,GWL,ROEN
2023,,H11G,VWL,?
2023,,EHU5,WBP,BART
2023,,BF1B,MA,?
2023,,BAU1,VWL,?
2023,,H11D,D,?
2023,,BF2A,PP,SCEI
2023,,AKM1,D,?
2023,,AKM2,D,?
2023,1,IFK2,GWL,STRC
2023,1,IFK2,GWL,WIGA
2023,1,IFK2,MA,PILA
2023,1,IFK2,E,STRA
2023,1,IFK2,D,STUH
2023,1,IFK2,PG,STUH
2023,1,IFK2,PG,UPHO
2023,1,IFK2,D-DV,STRC
2023,1,IFK2,D-DV,BENE
2023,1,IFK2,D-D,STUH
2023,1,IFK2,D-D,UPHO
2023,1,IFK2,D,OSSIO
2023,1,IFK2,GWL,ROEN
2023,1,IFK1,D,UPHO
2023,,GTU2,WSP,?
2023,1,EVM1,WSP,GLISS
2023,1,IFK2,D,COX
2023,1,IFK2,D,STEC
2023,1,IFK2,D,WILM
2023,1,IFK2,GWL,BENE
2023,1,IFK2,E,DITT
2023,1,IFK2,GWL,STRE
2023,1,IFK2,GWL,PIER
2023,1,IFK2,GWL,HUES
2023,1,BAM,WR,KLOI
2023,1,ITFM1,EVP,HINSE
2023,1,BAU1,INWI,KEES
2023,1,BAU2,INWI,FUCH
2023,1,IFK1,D,LUTI
2023,1,IFK1,D,EPPI
2023,1,BERA,BERAT,WAID
2023,1,,,?
2023,1,IFK2,D,FABE
2023,1,ITFM3,GID,BRUE
2023,1,ITFM2,GID,SCWA
2023,1,BAU1,BWRW,FUCH
2023,1,BAU1,BWRW,SALZ
2023,1,AKM1,WSP,BLEC
2023,1,AKM1,KUP,BLEC
2023,1,AKM1,KPA,BLEC
2023,1,AKM2,WSP,WEIN
2023,1,AKM2,KUP,WEIN
2023,1,AKM2,KPA,WEIN
2023,1,AKO1,WSP,KEES
2023,1,AKO1,KUP,KEES
2023,1,AKO1,KPA,KEES
2023,1,AKO2,WSP,WEIN
2023,1,AKO2,KUP,WEIN
2023,1,AKO2,KPA,WEIN
2023,1,AKU1,WSP,SOMM
2023,1,AKU1,KUP,SOMM
2023,1,AKU1,KPA,SOMM
2023,1,AKU2,WSP,RAMM
2023,1,AKU2,KUP,RAMM
2023,1,AKU2,KPA,RAMM
